outer_id,speaker_id,제주방언,표준어
DZES20000226.1.1.1,2,이렇게,이렇게
DZES20000226.1.1.1,2,떠들,떠들
DZES20000226.1.1.2,2,그거,그거
DZES20000226.1.1.2,2,성격이,성격이
DZES20000226.1.1.2,2,아니라가지고,아니라가지고
DZES20000226.1.1.3,3,왜?,왜?
DZES20000226.1.1.3,3,너혼자,너혼자
DZES20000226.1.1.3,3,(()),(())
DZES20000226.1.1.3,3,떠들어,떠들어
DZES20000226.1.1.4,3,나,나
DZES20000226.1.1.4,3,혼자,혼자
DZES20000226.1.1.4,3,떠들면,떠들면
DZES20000226.1.1.5,2,노잼이잖아,노잼이잖아
DZES20000226.1.1.6,3,{laughing},{laughing}
DZES20000226.1.1.7,3,그냥,그냥
DZES20000226.1.1.7,3,앞에,앞에
DZES20000226.1.1.7,3,앉아있어달라고,앉아있어달라고
DZES20000226.1.1.7,3,하고,하고
DZES20000226.1.1.8,3,아(기?)/(그래?),아(기?)/(그래?)
DZES20000226.1.1.9,3,대답만,대답만
DZES20000226.1.1.9,3,해,해
DZES20000226.1.1.9,3,주라,주라
DZES20000226.1.1.10,1,기,그래
DZES20000226.1.1.10,1,만,만
DZES20000226.1.1.10,1,해,해
DZES20000226.1.1.10,1,기?,그래?
DZES20000226.1.1.11,2,아,아
DZES20000226.1.1.12,2,재미(어서)/(없어),재미(어서)/(없어)
DZES20000226.1.1.13,2,걔랑,걔랑
DZES20000226.1.1.14,2,게임만,게임만
DZES20000226.1.1.14,2,열심히,열심히
DZES20000226.1.1.14,2,해,해
DZES20000226.1.1.15,2,대,대
DZES20000226.1.1.15,2,대화도,대화도
DZES20000226.1.1.15,2,잘않해,잘않해
DZES20000226.1.1.16,2,성질,성질
DZES20000226.1.1.16,2,낼때만,낼때만
DZES20000226.1.1.17,1,성질날때만?,성질날때만?
DZES20000226.1.1.18,1,뭔게,뭔게
DZES20000226.1.1.18,1,뭔,뭔
DZES20000226.1.1.18,1,게임해?,게임해?
DZES20000226.1.1.18,1,게임을,게임을
DZES20000226.1.1.19,2,오버워치하고,오버워치하고
DZES20000226.1.1.20,2,하고,하고
DZES20000226.1.1.21,1,오버워치?,오버워치?
DZES20000226.1.1.22,3,롤도,롤도
DZES20000226.1.1.22,3,해?,해?
DZES20000226.1.1.22,3,롤안해?,롤안해?
DZES20000226.1.1.23,2,내가,내가
DZES20000226.1.1.23,2,제일,제일
DZES20000226.1.1.23,2,잘하는,잘하는
DZES20000226.1.1.23,2,것,것
DZES20000226.1.1.23,2,중,중
DZES20000226.1.1.23,2,하나,하나
DZES20000226.1.1.23,2,가,가
DZES20000226.1.1.23,2,그거니까,그거니까
DZES20000226.1.1.23,2,롤안한거,롤안한거
DZES20000226.1.1.24,3,어,어
DZES20000226.1.1.24,3,오,오
DZES20000226.1.1.25,2,아이고,아이고
DZES20000226.1.1.26,3,아니,아니
DZES20000226.1.1.26,3,그럼,그럼
DZES20000226.1.1.26,3,오버워치나,오버워치나
DZES20000226.1.1.26,3,롤이나,롤이나
DZES20000226.1.1.27,3,그게,그게
DZES20000226.1.1.27,3,그거,그거
DZES20000226.1.1.27,3,아니?,아니야?
DZES20000226.1.1.28,2,패드립의,패드립의
DZES20000226.1.1.28,2,역사는,역사는
DZES20000226.1.1.28,2,안썻잖아,안썻잖아
DZES20000226.1.1.29,1,패드립,패드립
DZES20000226.1.1.29,1,은,은
DZES20000226.1.1.29,1,뭐?,뭐야?
DZES20000226.1.1.30,2,부모욕하는거,부모욕하는거
DZES20000226.1.1.31,3,패륜아,패륜아
DZES20000226.1.1.32,2,부모,부모
DZES20000226.1.1.32,2,욕하는거,욕하는거
DZES20000226.1.1.33,1,근데,근데
DZES20000226.1.1.33,1,왜,왜
DZES20000226.1.1.34,2,근데,근데
DZES20000226.1.1.34,2,롤은,롤은
DZES20000226.1.1.34,2,이제,이제
DZES20000226.1.1.34,2,유명하자나,유명하자나
DZES20000226.1.1.34,2,나,나
DZES20000226.1.1.34,2,초등학생땐가,초등학생땐가
DZES20000226.1.1.34,2,중학생,중학생
DZES20000226.1.1.34,2,때,때
DZES20000226.1.1.34,2,나왔으니까,나왔으니까
DZES20000226.1.1.35,1,롤이,롤이
DZES20000226.1.1.35,1,패드립하는,패드립하는
DZES20000226.1.1.35,1,사람이,사람이
DZES20000226.1.1.35,1,많아?,많아?
DZES20000226.1.1.36,2,살벌하지,살벌하지
DZES20000226.1.1.37,1,아(기?)/(그래?),아(기?)/(그래?)
DZES20000226.1.1.38,2,그쪽,그쪽
DZES20000226.1.1.38,2,그쪽,그쪽
DZES20000226.1.1.38,2,세계는,세계는
DZES20000226.1.1.38,2,좀,좀
DZES20000226.1.1.39,2,강한,강한
DZES20000226.1.1.39,2,사람들만,사람들만
DZES20000226.1.1.39,2,살아남아서,살아남아서
DZES20000226.1.1.40,1,처음,처음
DZES20000226.1.1.40,1,알았다,알았다
DZES20000226.1.1.41,1,응,응
DZES20000226.1.1.42,2,근데,근데
DZES20000226.1.1.42,2,게임도,게임도
DZES20000226.1.1.43,2,계속하고,계속하고
DZES20000226.1.1.43,2,싶은데,싶은데
DZES20000226.1.1.43,2,집에,집에
DZES20000226.1.1.43,2,컴퓨터,컴퓨터
DZES20000226.1.1.43,2,사젠,사려고
DZES20000226.1.1.43,2,했거든?,했거든?
DZES20000226.1.1.43,2,근데,근데
DZES20000226.1.1.44,2,엄마가,엄마가
DZES20000226.1.1.44,2,자꾸,자꾸
DZES20000226.1.1.44,2,사지,사지
DZES20000226.1.1.44,2,말라고,말라고
DZES20000226.1.1.44,2,하길래,하길래
DZES20000226.1.1.45,2,너무,너무
DZES20000226.1.1.45,2,이해,이해
DZES20000226.1.1.45,2,안돼,안돼
DZES20000226.1.1.46,1,어,어
DZES20000226.1.1.46,1,그럼,그럼
DZES20000226.1.1.46,1,지금,지금
DZES20000226.1.1.46,1,무슨,무슨
DZES20000226.1.1.46,1,뭘로,뭘로
DZES20000226.1.1.46,1,게임해?,게임해?
DZES20000226.1.1.47,2,피씨방,피씨방
DZES20000226.1.1.47,2,가야지뭐,가야지뭐
DZES20000226.1.1.47,2,마스크,마스크
DZES20000226.1.1.47,2,끼고,끼고
DZES20000226.1.1.48,1,피씨방,피씨방
DZES20000226.1.1.49,2,어쩔수가,어쩔수가
DZES20000226.1.1.49,2,없으니까,없으니까
DZES20000226.1.1.50,2,돈좀,돈좀
DZES20000226.1.1.50,2,많이,많이
DZES20000226.1.1.50,2,들겠네?,들겠네?
DZES20000226.1.1.50,2,몇시간,몇시간
DZES20000226.1.1.50,2,몇시간해?,몇시간해?
DZES20000226.1.1.51,2,좀,좀
DZES20000226.1.1.51,2,오래,오래
DZES20000226.1.1.51,2,{laughing},{laughing}
DZES20000226.1.1.51,2,오래하지,오래하지
DZES20000226.1.1.51,2,적게,적게
DZES20000226.1.1.51,2,하진,하진
DZES20000226.1.1.51,2,않으니깐,않으니깐
DZES20000226.1.1.51,2,뭐,뭐
DZES20000226.1.1.52,2,네,네
DZES20000226.1.1.52,2,다섯,다섯
DZES20000226.1.1.52,2,시간?,시간?
DZES20000226.1.1.53,1,하루에?,하루에?
DZES20000226.1.1.54,2,그렇지,그렇지
DZES20000226.1.1.54,2,가면,가면
DZES20000226.1.1.54,2,이제,이제
DZES20000226.1.1.54,2,뭐,뭐
DZES20000226.1.1.54,2,매일매일,매일매일
DZES20000226.1.1.54,2,갈,갈
DZES20000226.1.1.54,2,때도,때도
DZES20000226.1.1.54,2,있는데,있는데
DZES20000226.1.1.55,2,그런데,그런데
DZES20000226.1.1.55,2,이제,이제
DZES20000226.1.1.55,2,요즘,요즘
DZES20000226.1.1.55,2,또,또
DZES20000226.1.1.55,2,돈이,돈이
DZES20000226.1.1.55,2,없으니까,없으니까
DZES20000226.1.1.55,2,매일매일,매일매일
DZES20000226.1.1.55,2,가진,가진
DZES20000226.1.1.55,2,못하는데,못하는데
DZES20000226.1.1.55,2,가게,가게
DZES20000226.1.1.55,2,되면,되면
DZES20000226.1.1.56,2,다섯,다섯
DZES20000226.1.1.56,2,시간,시간
DZES20000226.1.1.56,2,정도,정도
DZES20000226.1.1.56,2,하는,하는
DZES20000226.1.1.56,2,거,거
DZES20000226.1.1.56,2,같애,같애
DZES20000226.1.1.57,1,평균,평균
DZES20000226.1.1.57,1,그러면은,그러면은
DZES20000226.1.1.58,1,한,한
DZES20000226.1.1.58,1,달에,달에
DZES20000226.1.1.58,1,얼마나,얼마나
DZES20000226.1.1.58,1,가,가
DZES20000226.1.1.58,1,너?,너?
DZES20000226.1.1.58,1,보통?,보통?
DZES20000226.1.1.59,1,몇,몇
DZES20000226.1.1.59,1,번?,번?
DZES20000226.1.1.60,1,시간,시간
DZES20000226.1.1.60,1,말고,말고
DZES20000226.1.1.61,2,한,한
DZES20000226.1.1.61,2,달에?,달에?
DZES20000226.1.1.61,2,가는,가는
DZES20000226.1.1.61,2,횟수로,횟수로
DZES20000226.1.1.61,2,치면,치면
DZES20000226.1.1.61,2,이제,이제
DZES20000226.1.1.62,2,못해도,못해도
DZES20000226.1.1.62,2,한,한
DZES20000226.1.1.63,2,열다섯,열다섯
DZES20000226.1.1.63,2,번,번
DZES20000226.1.1.63,2,정도는,정도는
DZES20000226.1.1.63,2,가는,가는
DZES20000226.1.1.63,2,거,거
DZES20000226.1.1.63,2,닮아,같아
DZES20000226.1.1.64,1,반,반
DZES20000226.1.1.64,1,반,반
DZES20000226.1.1.64,1,반은가네,반은가네
DZES20000226.1.1.65,2,어,어
DZES20000226.1.1.65,2,거의,거의
DZES20000226.1.1.66,2,또,또
DZES20000226.1.1.66,2,이제,이제
DZES20000226.1.1.66,2,성격이,성격이
DZES20000226.1.1.66,2,또,또
DZES20000226.1.1.66,2,게임,게임
DZES20000226.1.1.66,2,하는,하는
DZES20000226.1.1.66,2,거,거
DZES20000226.1.1.66,2,좋아하다,좋아하다
DZES20000226.1.1.66,2,보니까,보니까
DZES20000226.1.1.67,2,좋아하다,좋아하다
DZES20000226.1.1.67,2,보니까,보니까
DZES20000226.1.1.67,2,이제,이제
DZES20000226.1.1.67,2,계속,계속
DZES20000226.1.1.67,2,가게,가게
DZES20000226.1.1.67,2,되는데,되는데
DZES20000226.1.1.67,2,아,아
DZES20000226.1.1.67,2,솔직히,솔직히
DZES20000226.1.1.67,2,근데,근데
DZES20000226.1.1.68,2,컴퓨터에서,컴퓨터에서
