outer_id,speaker_id,제주방언,표준어
DZJD21002169.1.1.1,1,부인되는,부인되는
DZJD21002169.1.1.1,1,거,거
DZJD21002169.1.1.1,1,였다고,였다고
DZJD21002169.1.1.2,1,아니,아니
DZJD21002169.1.1.2,1,백사십칠번째였나,백사십칠번째였나
DZJD21002169.1.1.2,1,이백칠번째였나,이백칠번째였나
DZJD21002169.1.1.2,1,아무튼,아무튼
DZJD21002169.1.1.2,1,그랬는데,그랬는데
DZJD21002169.1.1.2,1,그,그
DZJD21002169.1.1.2,1,정도로,정도로
DZJD21002169.1.1.2,1,뒷순번이면은,뒷순번이면은
DZJD21002169.1.1.2,1,그,그
DZJD21002169.1.1.2,1,관심도,관심도
DZJD21002169.1.1.2,1,나한테,나한테
DZJD21002169.1.1.2,1,안줄,안줄
DZJD21002169.1.1.2,1,거,거
DZJD21002169.1.1.2,1,같고,같고
DZJD21002169.1.1.2,1,돈만,돈만
DZJD21002169.1.1.2,1,주고,주고
DZJD21002169.1.1.3,1,중동,중동
DZJD21002169.1.1.3,1,왕자의,왕자의
DZJD21002169.1.1.3,1,한,한
DZJD21002169.1.1.3,1,백사십칠번째,백사십칠번째
DZJD21002169.1.1.3,1,쯤,쯤
DZJD21002169.1.1.3,1,부인,부인
DZJD21002169.1.1.3,1,되는,되는
DZJD21002169.1.1.3,1,게,게
DZJD21002169.1.1.3,1,꿈이었는데,꿈이었는데
DZJD21002169.1.1.4,2,쩐다,쩐다
DZJD21002169.1.1.5,1,것도,것도
DZJD21002169.1.1.5,1,실패핸,실패핸
DZJD21002169.1.1.6,1,중동이랑,중동이랑
DZJD21002169.1.1.6,1,접점이,접점이
DZJD21002169.1.1.6,1,없어,없어
DZJD21002169.1.1.7,2,거기,거기
DZJD21002169.1.1.7,2,지금,지금
DZJD21002169.1.1.7,2,못가,못가
DZJD21002169.1.1.8,1,(()),(())
DZJD21002169.1.1.9,1,요즘,요즘
DZJD21002169.1.1.10,1,못나가게,못나가게
DZJD21002169.1.1.10,1,하니까,하니까
DZJD21002169.1.1.10,1,갑자기,갑자기
DZJD21002169.1.1.10,1,여행이,여행이
DZJD21002169.1.1.10,1,너무,너무
DZJD21002169.1.1.10,1,가고,가고
DZJD21002169.1.1.10,1,싶은,싶은
DZJD21002169.1.1.10,1,거,거
DZJD21002169.1.1.10,1,있지,있지
DZJD21002169.1.1.11,2,그러니까,그러니까
DZJD21002169.1.1.12,1,나,나
DZJD21002169.1.1.12,1,원래,원래
DZJD21002169.1.1.12,1,여행,여행
DZJD21002169.1.1.12,1,별로,별로
DZJD21002169.1.1.12,1,좋아하지도,좋아하지도
DZJD21002169.1.1.12,1,않는데,않는데
DZJD21002169.1.1.12,1,여행이,여행이
DZJD21002169.1.1.12,1,가고,가고
DZJD21002169.1.1.12,1,싶다,싶다
DZJD21002169.1.1.13,2,야,야
DZJD21002169.1.1.13,2,그럼,그럼
DZJD21002169.1.1.13,2,너,너
DZJD21002169.1.1.13,2,지금,지금
DZJD21002169.1.1.13,2,야,야
DZJD21002169.1.1.13,2,지금,지금
DZJD21002169.1.1.13,2,아직,아직
DZJD21002169.1.1.13,2,헬스장,헬스장
DZJD21002169.1.1.13,2,문,문
DZJD21002169.1.1.13,2,안열었지,안열었지
DZJD21002169.1.1.13,2,안?,않아?
DZJD21002169.1.1.14,1,나,나
DZJD21002169.1.1.14,1,살쪈,살쪘어
DZJD21002169.1.1.14,1,그래서,그래서
DZJD21002169.1.1.15,2,나,나
DZJD21002169.1.1.15,2,살,살
DZJD21002169.1.1.15,2,오지게,오지게
DZJD21002169.1.1.15,2,쪈,쪘어
DZJD21002169.1.1.16,1,나도,나도
DZJD21002169.1.1.16,1,살,살
DZJD21002169.1.1.16,1,많이,많이
DZJD21002169.1.1.16,1,쪈,쪘어
DZJD21002169.1.1.16,1,체중,체중
DZJD21002169.1.1.16,1,변화는,변화는
DZJD21002169.1.1.16,1,크게,크게
DZJD21002169.1.1.16,1,없거든?,없거든?
DZJD21002169.1.1.17,1,한,한
DZJD21002169.1.1.17,1,일키로?,일키로?
DZJD21002169.1.1.18,1,그런데,그런데
DZJD21002169.1.1.18,1,근육이,근육이
DZJD21002169.1.1.18,1,있었던,있었던
DZJD21002169.1.1.18,1,자리에,자리에
DZJD21002169.1.1.18,1,지방이,지방이
DZJD21002169.1.1.18,1,끼면서,끼면서
DZJD21002169.1.1.18,1,좀,좀
DZJD21002169.1.1.18,1,많이,많이
DZJD21002169.1.1.18,1,뚱뚱해젼,뚱뚱해졌어
DZJD21002169.1.1.19,2,살,살
DZJD21002169.1.1.19,2,언제,언제
DZJD21002169.1.1.19,2,빼니,빼니
DZJD21002169.1.1.20,1,(()),(())
DZJD21002169.1.1.21,1,아,아
DZJD21002169.1.1.21,1,살,살
DZJD21002169.1.1.21,1,언제,언제
DZJD21002169.1.1.21,1,빼냐,빼냐
DZJD21002169.1.1.21,1,진짜,진짜
DZJD21002169.1.1.21,1,다이어트,다이어트
DZJD21002169.1.1.21,1,이제,이제
DZJD21002169.1.1.21,1,못하겐,못하겠어
DZJD21002169.1.1.21,1,힘들어,힘들어
DZJD21002169.1.1.22,2,아니,아니
DZJD21002169.1.1.22,2,이제,이제
DZJD21002169.1.1.22,2,헬스장,헬스장
DZJD21002169.1.1.22,2,어떵해,어떡해
DZJD21002169.1.1.22,2,진짜,진짜
DZJD21002169.1.1.23,1,그래서,그래서
DZJD21002169.1.1.23,1,막,막
DZJD21002169.1.1.23,1,시위,시위
DZJD21002169.1.1.23,1,하고,하고
DZJD21002169.1.1.23,1,난리,난리
DZJD21002169.1.1.23,1,나가지고,나가지고
DZJD21002169.1.1.23,1,뭐,뭐
DZJD21002169.1.1.23,1,십칠일,십칠일
DZJD21002169.1.1.23,1,이후부터는,이후부터는
DZJD21002169.1.1.23,1,헬스장이랑,헬스장이랑
DZJD21002169.1.1.23,1,노래방이랑,노래방이랑
DZJD21002169.1.1.23,1,문,문
DZJD21002169.1.1.23,1,연다는,연다는
DZJD21002169.1.1.23,1,것,것
DZJD21002169.1.1.23,1,같던데?,같던데?
DZJD21002169.1.1.24,2,열긴,열긴
DZJD21002169.1.1.24,2,여는데,여는데
DZJD21002169.1.1.24,2,약간,약간
DZJD21002169.1.1.24,2,사람들,사람들
DZJD21002169.1.1.25,2,잘,잘
DZJD21002169.1.1.25,2,안,안
DZJD21002169.1.1.25,2,갈,갈
DZJD21002169.1.1.25,2,것,것
DZJD21002169.1.1.25,2,같지,같지
DZJD21002169.1.1.25,2,안?,않아?
DZJD21002169.1.1.26,1,뭐,뭐
DZJD21002169.1.1.26,1,나같은,나같은
DZJD21002169.1.1.26,1,애들,애들
DZJD21002169.1.1.26,1,있겠지,있겠지
DZJD21002169.1.1.26,1,나는,나는
DZJD21002169.1.1.26,1,지금,지금
DZJD21002169.1.1.26,1,헬스장,헬스장
DZJD21002169.1.1.26,1,문,문
DZJD21002169.1.1.26,1,열기만,열기만
DZJD21002169.1.1.26,1,기다리고,기다리고
DZJD21002169.1.1.26,1,있으니까,있으니까
DZJD21002169.1.1.27,2,그렇긴,그렇긴
DZJD21002169.1.1.27,2,하지,하지
DZJD21002169.1.1.28,1,옛날,옛날
DZJD21002169.1.1.28,1,만큼의,만큼의
DZJD21002169.1.1.29,1,매출은,매출은
DZJD21002169.1.1.29,1,안,안
DZJD21002169.1.1.29,1,나오겠지,나오겠지
DZJD21002169.1.1.30,1,근데,근데
DZJD21002169.1.1.30,1,문을,문을
DZJD21002169.1.1.30,1,아예,아예
DZJD21002169.1.1.30,1,못,못
DZJD21002169.1.1.30,1,열게,열게
DZJD21002169.1.1.30,1,하는,하는
DZJD21002169.1.1.30,1,것보다는,것보다는
DZJD21002169.1.1.30,1,그래도,그래도
DZJD21002169.1.1.30,1,좀,좀
DZJD21002169.1.1.30,1,오는,오는
DZJD21002169.1.1.30,1,고객이라도,고객이라도
DZJD21002169.1.1.30,1,받는,받는
DZJD21002169.1.1.30,1,게,게
DZJD21002169.1.1.30,1,나으니까,나으니까
DZJD21002169.1.1.31,2,그치,그치
DZJD21002169.1.1.32,1,(()),(())
DZJD21002169.1.1.32,1,거의,거의
DZJD21002169.1.1.32,1,다써가는데,다써가는데
DZJD21002169.1.1.33,2,그때,그때
DZJD21002169.1.1.33,2,이제,이제
DZJD21002169.1.1.33,2,등록해야지,등록해야지
DZJD21002169.1.1.34,1,한,한
DZJD21002169.1.1.34,1,사,사
DZJD21002169.1.1.34,1,만원이나,만원이나
DZJD21002169.1.1.34,1,삼,삼
DZJD21002169.1.1.34,1,만원,만원
DZJD21002169.1.1.34,1,대까지,대까지
DZJD21002169.1.1.34,1,꺾는,꺾는
DZJD21002169.1.1.34,1,거지,거지
DZJD21002169.1.1.35,2,그런데,그런데
DZJD21002169.1.1.35,2,왠지,왠지
DZJD21002169.1.1.35,2,할,할
DZJD21002169.1.1.35,2,수,수
DZJD21002169.1.1.35,2,있을,있을
DZJD21002169.1.1.35,2,것,것
DZJD21002169.1.1.35,2,닮아,같아
DZJD21002169.1.1.36,1,그치,그치
DZJD21002169.1.1.36,1,요즘,요즘
DZJD21002169.1.1.36,1,매출이,매출이
DZJD21002169.1.1.36,1,너무,너무
DZJD21002169.1.1.36,1,안,안
DZJD21002169.1.1.36,1,나와서,나와서
DZJD21002169.1.1.36,1,사람이,사람이
DZJD21002169.1.1.37,2,어,어
DZJD21002169.1.1.38,2,기회다,기회다
DZJD21002169.1.1.39,2,기회다,기회다
DZJD21002169.1.1.40,1,그러면,그러면
DZJD21002169.1.1.40,1,한,한
DZJD21002169.1.1.40,1,오십회,오십회
DZJD21002169.1.1.40,1,끊어놔야지,끊어놔야지
DZJD21002169.1.1.41,2,어,어
DZJD21002169.1.1.42,1,오십회,오십회
DZJD21002169.1.1.42,1,끊고,끊고
DZJD21002169.1.1.43,1,코로나,코로나
DZJD21002169.1.1.43,1,끝날때까지,끝날때까지
DZJD21002169.1.1.43,1,써야지,써야지
DZJD21002169.1.1.44,2,아,아
DZJD21002169.1.1.44,2,진짜,진짜
DZJD21002169.1.1.44,2,지겹다,지겹다
DZJD21002169.1.1.44,2,지겨워,지겨워
DZJD21002169.1.1.45,1,운동하기,운동하기
DZJD21002169.1.1.45,1,싫어,싫어
DZJD21002169.1.1.46,2,근데,근데
DZJD21002169.1.1.46,2,너가,너가
DZJD21002169.1.1.46,2,너가,너가
DZJD21002169.1.1.46,2,보내준,보내준
DZJD21002169.1.1.46,2,거,거
DZJD21002169.1.1.46,2,아직,아직
DZJD21002169.1.1.46,2,못봐신디,못봤는데
DZJD21002169.1.1.47,1,내가,내가
DZJD21002169.1.1.47,1,보내,보내
DZJD21002169.1.1.47,1,준,준
DZJD21002169.1.1.47,1,아,아
DZJD21002169.1.1.47,1,그,그
DZJD21002169.1.1.47,1,다방?,다방?
DZJD21002169.1.1.48,2,응,응
DZJD21002169.1.1.49,1,이따봐,이따봐
DZJD21002169.1.1.49,1,이따,이따
DZJD21002169.1.1.49,1,끝나면,끝나면
DZJD21002169.1.1.49,1,사십분,사십분
DZJD21002169.1.1.49,1,남아신게,남았네
DZJD21002169.1.1.50,2,아,아
DZJD21002169.1.1.50,2,배고파,배고파
DZJD21002169.1.1.51,1,나두요,나두요
DZJD21002169.1.1.52,1,배가,배가
DZJD21002169.1.1.52,1,너무,너무
DZJD21002169.1.1.52,1,고프다,고프다
DZJD21002169.1.1.52,1,어제부터,어제부터
DZJD21002169.1.1.52,1,먹은,먹은
DZJD21002169.1.1.52,1,게,게
DZJD21002169.1.1.52,1,없어,없어
DZJD21002169.1.1.53,1,어제부터,어제부터
DZJD21002169.1.1.53,1,안,안
DZJD21002169.1.1.53,1,먹었더니,먹었더니
DZJD21002169.1.1.53,1,여기가,여기가
DZJD21002169.1.1.53,1,푹,푹
