outer_id,speaker_id,제주방언,표준어
DZES20000589.1.1.1,1,난,난
DZES20000589.1.1.1,1,이,#이
DZES20000589.1.1.2,1,처녀때도,처녀때도
DZES20000589.1.1.2,1,이,#이
DZES20000589.1.1.2,1,한*,한
DZES20000589.1.1.2,1,열여덟살,열여덟살
DZES20000589.1.1.2,1,나난에,되니까
DZES20000589.1.1.3,1,이,#이
DZES20000589.1.1.4,1,메느리,며느리
DZES20000589.1.1.4,1,해가켄,하겠따고
DZES20000589.1.1.4,1,한,한
DZES20000589.1.1.4,1,사람이,사람이
DZES20000589.1.1.4,1,하,많아
DZES20000589.1.1.5,1,저,저
DZES20000589.1.1.5,1,큰아들만,큰아들만
DZES20000589.1.1.5,1,오곡이,오고
DZES20000589.1.1.6,1,저,저
DZES20000589.1.1.6,1,아방,아빠
DZES20000589.1.1.6,1,어신,없는
DZES20000589.1.1.6,1,집에서만,집에서만
DZES20000589.1.1.6,1,와라게.,오더라.
DZES20000589.1.1.6,1,그런데,그런데
DZES20000589.1.1.6,1,아들들은,아들들은
DZES20000589.1.1.6,1,이,#이
DZES20000589.1.1.7,1,아들,아들
DZES20000589.1.1.7,1,들은(이)/(#이),들은(이)/(#이)
DZES20000589.1.1.7,1,저,저
DZES20000589.1.1.7,1,소나이들은,남자들은
DZES20000589.1.1.7,1,온거,온거
DZES20000589.1.1.7,1,보면,보면
DZES20000589.1.1.7,1,이,#이
DZES20000589.1.1.8,1,공부도,공부도
DZES20000589.1.1.8,1,하영,많이
DZES20000589.1.1.8,1,했고,했고
DZES20000589.1.1.8,1,잘도,엄청
DZES20000589.1.1.8,1,고운,고운
DZES20000589.1.1.8,1,사람들만,사람들만
DZES20000589.1.1.8,1,와,와
DZES20000589.1.1.8,1,게,#게
DZES20000589.1.1.9,1,울,울
DZES20000589.1.1.9,1,집이,집에
DZES20000589.1.1.9,1,아방은,아빠랑은
DZES20000589.1.1.9,1,영,이렇게
DZES20000589.1.1.9,1,비교가,비교가
DZES20000589.1.1.9,1,안되는,안되는
DZES20000589.1.1.10,1,사람들만,사람들만
DZES20000589.1.1.10,1,와나서,왔었어
DZES20000589.1.1.10,1,겅행,그래서
DZES20000589.1.1.11,1,우리,우리
DZES20000589.1.1.11,1,어멍은,엄마느
DZES20000589.1.1.11,1,젊을,젊을
DZES20000589.1.1.11,1,때,때
DZES20000589.1.1.11,1,혼자,혼자
DZES20000589.1.1.11,1,되난,되니까
DZES20000589.1.1.12,1,아방,아빠
DZES20000589.1.1.12,1,이신,있는
DZES20000589.1.1.12,1,집만,집만
DZES20000589.1.1.12,1,보켄,보겠다고
DZES20000589.1.1.12,1,허멍,하면서
DZES20000589.1.1.13,1,나고라,나한테
