outer_id,speaker_id,제주방언,표준어
DZES20000083.1.1.1,2,게믄,그러면
DZES20000083.1.1.2,1,높이민,높이면
DZES20000083.1.1.2,1,또똣한,따뜻한
DZES20000083.1.1.2,1,물,물
DZES20000083.1.1.2,1,나오는거,나오는거
DZES20000083.1.1.2,1,아니,아니
DZES20000083.1.1.3,1,지금,지금
DZES20000083.1.1.3,1,촘,촘
DZES20000083.1.1.3,1,촌바람,찬바람
DZES20000083.1.1.3,1,나왐지,나오지
DZES20000083.1.1.4,1,그런데,그런데
DZES20000083.1.1.4,1,이제,이제
DZES20000083.1.1.5,1,이거를,이거를
DZES20000083.1.1.6,3,이건,이건
DZES20000083.1.1.6,3,뭐지,뭐지
DZES20000083.1.1.7,1,그거를,그거를
DZES20000083.1.1.7,1,뭐,뭐
DZES20000083.1.1.8,1,온풍으로,온풍으로
DZES20000083.1.1.8,1,해야,해야
DZES20000083.1.1.8,1,되는가,되는가
DZES20000083.1.1.9,1,게난,그니깐
DZES20000083.1.1.9,1,&name2&는,&name2&는
DZES20000083.1.1.9,1,야,#야
DZES20000083.1.1.10,1,저기,저기
DZES20000083.1.1.10,1,남자,남자
DZES20000083.1.1.10,1,오,오
DZES20000083.1.1.11,1,그럼,그럼
DZES20000083.1.1.11,1,너는,너는
DZES20000083.1.1.11,1,똘,딸
DZES20000083.1.1.11,1,너,너
DZES20000083.1.1.11,1,혼자뿐,혼자뿐
DZES20000083.1.1.12,1,아,아
DZES20000083.1.1.12,1,기,그래
DZES20000083.1.1.13,2,나,나
DZES20000083.1.1.13,2,혼자뿐이니까,혼자뿐이니까
DZES20000083.1.1.13,2,총싸움,총싸움
DZES20000083.1.1.13,2,담아치기,담아치기
DZES20000083.1.1.14,2,겅허고,그러고
DZES20000083.1.1.14,2,게,#게
DZES20000083.1.1.14,2,그,그
DZES20000083.1.1.14,2,옛날에는,옛날에는
DZES20000083.1.1.14,2,칼,칼
DZES20000083.1.1.14,2,있잖아,있잖아
DZES20000083.1.1.14,2,((xx칼)),((xx칼))
DZES20000083.1.1.15,2,그리고,그리고
DZES20000083.1.1.15,2,큰오빠,큰오빠
DZES20000083.1.1.15,2,작은오빠랑,작은오빠랑
DZES20000083.1.1.15,2,나랑,나랑
DZES20000083.1.1.15,2,이제,이제
DZES20000083.1.1.16,2,날래,#사투리
DZES20000083.1.1.16,2,널어동,널어서
DZES20000083.1.1.16,2,가믄,가면
DZES20000083.1.1.16,2,집에서,집에서
DZES20000083.1.1.16,2,그거,그거
DZES20000083.1.1.16,2,영,#영
DZES20000083.1.1.16,2,바깥,바깥
DZES20000083.1.1.16,2,놔야대난,놔야되니깐
DZES20000083.1.1.16,2,날래대스랜,#사투리
DZES20000083.1.1.16,2,하잖아,하잖아
DZES20000083.1.1.16,2,게믄,그러면
DZES20000083.1.1.17,2,날래,#사투리
DZES20000083.1.1.17,2,날래,#사투리
DZES20000083.1.1.17,2,날래대스라,#사투리
DZES20000083.1.1.17,2,뭐,뭐
DZES20000083.1.1.17,2,영,#영
DZES20000083.1.1.17,2,하잖아,하잖아
DZES20000083.1.1.17,2,예,#예
DZES20000083.1.1.18,2,날래,#사투리
DZES20000083.1.1.18,2,널랜도,널라고도
DZES20000083.1.1.18,2,하고,하고
DZES20000083.1.1.18,2,날래,날래
DZES20000083.1.1.18,2,영,#영
DZES20000083.1.1.18,2,(()),(())
DZES20000083.1.1.19,2,예,#예
DZES20000083.1.1.19,2,달랜도,달라고도
DZES20000083.1.1.19,2,하고,하고
DZES20000083.1.1.19,2,예,#예
DZES20000083.1.1.19,2,거믄,그러면
DZES20000083.1.1.19,2,이제,이제
DZES20000083.1.1.20,2,그거를,그거를
DZES20000083.1.1.20,2,하는데,하는데
DZES20000083.1.1.20,2,부엌문이,부엌문이
DZES20000083.1.1.20,2,낭문이잖아,낭문이잖아
DZES20000083.1.1.21,2,낭문이니깐,낭문이니깐
DZES20000083.1.1.21,2,작은오빠가,작은오빠가
DZES20000083.1.1.21,2,날,날
DZES20000083.1.1.21,2,영,#영
DZES20000083.1.1.21,2,세와,세워
DZES20000083.1.1.22,2,영,#영
DZES20000083.1.1.22,2,세왕,세워
DZES20000083.1.1.22,2,나,나
DZES20000083.1.1.22,2,예,#예
DZES20000083.1.1.22,2,이제,이제
DZES20000083.1.1.22,2,생각하난,생각하니깐
DZES20000083.1.1.22,2,완전,완전
DZES20000083.1.1.22,2,소름이,소름이
DZES20000083.1.1.22,2,쫙,쫙
DZES20000083.1.1.22,2,끼쳐,끼쳐
DZES20000083.1.1.22,2,칼로,칼로
DZES20000083.1.1.22,2,여기,여기
DZES20000083.1.1.22,2,맞히는,맞히는
DZES20000083.1.1.22,2,거예요,거예요
DZES20000083.1.1.23,1,아오,아오
DZES20000083.1.1.23,1,게,#게
DZES20000083.1.1.23,1,게,#게
DZES20000083.1.1.24,1,사과,사과
DZES20000083.1.1.24,1,사고,사고
DZES20000083.1.1.24,1,어서난,없었어
DZES20000083.1.1.25,1,야,야
DZES20000083.1.1.25,1,그래도,그래도
DZES20000083.1.1.25,1,얼굴이라도,얼굴이라도
DZES20000083.1.1.25,1,찍히면,찍히면
DZES20000083.1.1.25,1,어디야,어디야
DZES20000083.1.1.25,1,지금,지금
DZES20000083.1.1.25,1,너,너
DZES20000083.1.1.25,1,죽는,죽는
DZES20000083.1.1.25,1,거,거
DZES20000083.1.1.25,1,아니야,아니야
DZES20000083.1.1.26,1,너네,너네
DZES20000083.1.1.26,1,오빠도,오빠도
DZES20000083.1.1.26,1,별난,별난
DZES20000083.1.1.26,1,오빠여,오빠다
DZES20000083.1.1.26,1,이,#이
DZES20000083.1.1.27,2,아니,아니
DZES20000083.1.1.27,2,나도,나도
DZES20000083.1.1.27,2,겅해,그래
DZES20000083.1.1.27,2,그럼,그럼
DZES20000083.1.1.27,2,나,나
DZES20000083.1.1.27,2,한번,한번
DZES20000083.1.1.27,2,하고,하고
DZES20000083.1.1.27,2,지도,지도
DZES20000083.1.1.27,2,한번,한번
DZES20000083.1.1.27,2,하고,하고
DZES20000083.1.1.27,2,겅해그냉,그렇게
DZES20000083.1.1.27,2,하는데,하는데
DZES20000083.1.1.28,2,지금,지금
DZES20000083.1.1.28,2,생각하난,생각하니깐
DZES20000083.1.1.28,2,너무,너무
DZES20000083.1.1.28,2,끔찍하고,끔찍하고
DZES20000083.1.1.29,2,그런데,그런데
DZES20000083.1.1.29,2,이제,이제
DZES20000083.1.1.29,2,그거를,그거를
DZES20000083.1.1.29,2,나가,나가
DZES20000083.1.1.29,2,고자질,고자질
DZES20000083.1.1.29,2,한,한
DZES20000083.1.1.29,2,거,거
DZES20000083.1.1.29,2,닮아,닮아
DZES20000083.1.1.30,1,(()),(())
DZES20000083.1.1.30,1,했구나,했구나
DZES20000083.1.1.31,2,죽게,죽게
DZES20000083.1.1.31,2,맞았어,맞았어
DZES20000083.1.1.31,2,둘다,둘다
DZES20000083.1.1.31,2,죽게,죽게
DZES20000083.1.1.31,2,맞아신디,맞았는데
DZES20000083.1.1.31,2,칼날이,칼날이
DZES20000083.1.1.31,2,예,#예
DZES20000083.1.1.32,2,난,난
DZES20000083.1.1.32,2,팡하면,팡하면
DZES20000083.1.1.32,2,그,그
DZES20000083.1.1.32,2,칼날에,칼날에
DZES20000083.1.1.32,2,영,#영
DZES20000083.1.1.32,2,톧아진거,뜯어진거
DZES20000083.1.1.32,2,닮아,닮아
DZES20000083.1.1.32,2,우리,우리
DZES20000083.1.1.32,2,그,그
DZES20000083.1.1.32,2,톧아지고,뜯어지고
DZES20000083.1.1.32,2,영,#영
DZES20000083.1.1.32,2,톧아져부난,뜯어져서
DZES20000083.1.1.33,2,이제,이제
DZES20000083.1.1.33,2,칼,칼
DZES20000083.1.1.33,2,이거,이거
DZES20000083.1.1.33,2,무사,왜
DZES20000083.1.1.33,2,이거,이거
DZES20000083.1.1.33,2,날,날
DZES20000083.1.1.33,2,톧아져시니,뜯어졌니
DZES20000083.1.1.33,2,하니깐,하니깐
DZES20000083.1.1.34,2,이제,이제
DZES20000083.1.1.34,2,그때,그때
DZES20000083.1.1.34,2,나가,나가
DZES20000083.1.1.34,2,이제,이제
DZES20000083.1.1.34,2,이제,이제
DZES20000083.1.1.34,2,영영영영,#영영영영
DZES20000083.1.1.34,2,했수다,했어요
DZES20000083.1.1.34,2,하니깐,하니깐
DZES20000083.1.1.35,2,어,어
DZES20000083.1.1.35,2,그건,그건
DZES20000083.1.1.35,2,두,두
DZES20000083.1.1.35,2,번,번
DZES20000083.1.1.35,2,맞안,맞았어
DZES20000083.1.1.35,2,어멍한테,엄마한테
DZES20000083.1.1.35,2,맞고,맞고
DZES20000083.1.1.35,2,아방한테,아빠한테
DZES20000083.1.1.35,2,맞고,맞고
DZES20000083.1.1.36,2,겅행,그러고
DZES20000083.1.1.36,2,또,또
DZES20000083.1.1.36,2,오라방한테,오빠한테
DZES20000083.1.1.36,2,맞고,맞고
DZES20000083.1.1.37,1,골았댄,말했다고
DZES20000083.1.1.37,1,{laughing},{laughing}
DZES20000083.1.1.38,2,그땐,그땐
DZES20000083.1.1.38,2,둘이가,둘이가
DZES20000083.1.1.38,2,다,다
DZES20000083.1.1.38,2,맞안,맞았어
DZES20000083.1.1.38,2,둘이가,둘이가
DZES20000083.1.1.38,2,어멍한테,엄마한테
DZES20000083.1.1.38,2,맞고,맞고
DZES20000083.1.1.38,2,아방한테,아빠한테
DZES20000083.1.1.38,2,맞고,맞고
DZES20000083.1.1.38,2,그,그
DZES20000083.1.1.38,2,다음엔,다음엔
DZES20000083.1.1.38,2,그,그
DZES20000083.1.1.39,2,저기,저기
DZES20000083.1.1.39,2,오라방한테,오빠한테
DZES20000083.1.1.39,2,맞고,맞고
DZES20000083.1.1.39,2,갱,그래서
DZES20000083.1.1.39,2,그,그
DZES20000083.1.1.39,2,다음에,다음에
DZES20000083.1.1.39,2,이제,이제
DZES20000083.1.1.39,2,벽에,벽에
DZES20000083.1.1.39,2,상,서서
DZES20000083.1.1.39,2,그거를,그거를
DZES20000083.1.1.39,2,안,안
DZES20000083.1.1.39,2,하는,하는
DZES20000083.1.1.39,2,대신에,대신에
DZES20000083.1.1.40,2,서부영화,서부영화
DZES20000083.1.1.40,2,있잖아,있잖아
DZES20000083.1.1.40,2,왜,왜
DZES20000083.1.1.40,2,그거봐그냉,그거봐서
DZES20000083.1.1.40,2,우리가,우리가
DZES20000083.1.1.40,2,구축한거,그렇게한거
DZES20000083.1.1.40,2,닮아,닮아
DZES20000083.1.1.41,2,겅해신디,그랬는데
DZES20000083.1.1.41,2,그,그
DZES20000083.1.1.41,2,다음에는,다음에는
DZES20000083.1.1.41,2,뭘,뭘
DZES20000083.1.1.41,2,했냐면,했냐면
DZES20000083.1.1.41,2,총만,총만
DZES20000083.1.1.41,2,들라,들라
DZES20000083.1.1.42,2,그,그
DZES20000083.1.1.42,2,낭땡이,낭땡이
DZES20000083.1.1.42,2,해가지고,해가지고
DZES20000083.1.1.42,2,예,#예
DZES20000083.1.1.42,2,막,막
DZES20000083.1.1.42,2,이렇게,이렇게
DZES20000083.1.1.42,2,못,못
DZES20000083.1.1.42,2,박으멍,박으면서
DZES20000083.1.1.43,1,응,응
DZES20000083.1.1.43,1,맞아,맞아
DZES20000083.1.1.43,1,우리도,우리도
DZES20000083.1.1.43,1,경해나서,그랬어
DZES20000083.1.1.44,2,겅해그냉,그래서
DZES20000083.1.1.44,2,따다다다,따다다다
DZES20000083.1.1.45,2,지창,지창
DZES20000083.1.1.45,2,그,그
DZES20000083.1.1.45,2,총,총
DZES20000083.1.1.45,2,있잖아,있잖아
DZES20000083.1.1.45,2,따발총,따발총
DZES20000083.1.1.45,2,만드는거,만드는거
DZES20000083.1.1.46,2,그거,그거
DZES20000083.1.1.46,2,만들라,만들라
DZES20000083.1.1.46,2,캐가지고,해가지고
DZES20000083.1.1.46,2,그거,그거
DZES20000083.1.1.46,2,허당보난,하다보니깐
DZES20000083.1.1.47,1,그,그
DZES20000083.1.1.47,1,당시에,당시에
DZES20000083.1.1.47,1,테레비,테레비
DZES20000083.1.1.47,1,저,저
DZES20000083.1.1.47,1,선전이,선전이
DZES20000083.1.1.47,1,그거,그거
DZES20000083.1.1.47,1,이서나서,있었어
DZES20000083.1.1.47,1,그,그
DZES20000083.1.1.47,1,윌리엄,윌리엄
DZES20000083.1.1.47,1,텔,텔
DZES20000083.1.1.48,1,이렇게,이렇게
DZES20000083.1.1.48,1,사과,사과
DZES20000083.1.1.48,1,이렇게,이렇게
DZES20000083.1.1.48,1,사과,사과
DZES20000083.1.1.48,1,맞히는,맞히는
DZES20000083.1.1.48,1,그런,그런
DZES20000083.1.1.48,1,선전,선전
DZES20000083.1.1.48,1,텔레비젼,텔레비젼
DZES20000083.1.1.48,1,선전,선전
DZES20000083.1.1.48,1,이서나서,있었어
DZES20000083.1.1.49,2,겅허난,그러니깐
DZES20000083.1.1.49,2,겅해신가,그랬나
DZES20000083.1.1.50,1,머리에,머리에
DZES20000083.1.1.50,1,사과,사과
DZES20000083.1.1.50,1,놓고,놓고
DZES20000083.1.1.50,1,그런,그런
DZES20000083.1.1.50,1,선전,선전
DZES20000083.1.1.50,1,해나서,했었어
DZES20000083.1.1.51,2,기지,기지
DZES20000083.1.1.51,2,예,#예
DZES20000083.1.1.51,2,뭔가,뭔가
DZES20000083.1.1.51,2,있었어,있었어
DZES20000083.1.1.51,2,그런데,그런데
DZES20000083.1.1.51,2,머리에,머리에
DZES20000083.1.1.51,2,뭐,뭐
DZES20000083.1.1.51,2,놓은건,놓은건
DZES20000083.1.1.51,2,아니고,아니고
