outer_id,speaker_id,제주방언,표준어
DZES20001131.1.1.1,1,화자,화자
DZES20001131.1.1.1,1,&name1&,&name1&
DZES20001131.1.1.1,1,&name3&,&name3&
DZES20001131.1.1.1,1,&name2&,&name2&
DZES20001131.1.1.1,1,녹음,녹음
DZES20001131.1.1.1,1,시작하겠습니다.,시작하겠습니다.
DZES20001131.1.1.2,2,롤,롤
DZES20001131.1.1.2,2,하면서,하면서
DZES20001131.1.1.2,2,해도,해도
DZES20001131.1.1.2,2,될켜.,되겠다.
DZES20001131.1.1.3,3,게난.,그니까.
DZES20001131.1.1.4,1,롤은,롤은
DZES20001131.1.1.4,1,롤이랑,롤이랑
DZES20001131.1.1.4,1,다르네,다르잖아
DZES20001131.1.1.5,2,롤이여?,롤이여?
DZES20001131.1.1.6,1,네?,네?
DZES20001131.1.1.6,1,제가,제가
DZES20001131.1.1.6,1,선이거든여.,선이거든여.
DZES20001131.1.1.7,1,근데,근데
DZES20001131.1.1.7,1,하나,하나
DZES20001131.1.1.7,1,둘,둘
DZES20001131.1.1.7,1,셋,셋
DZES20001131.1.1.7,1,넷,넷
DZES20001131.1.1.7,1,(()),(())
DZES20001131.1.1.8,3,야,야
DZES20001131.1.1.8,3,(()),(())
DZES20001131.1.1.8,3,나오네,나오네
DZES20001131.1.1.8,3,씨,씨
DZES20001131.1.1.9,3,나,나
DZES20001131.1.1.9,3,진짜,진짜
DZES20001131.1.1.9,3,바티서,밭에서
DZES20001131.1.1.9,3,유격,유격
DZES20001131.1.1.9,3,훈련,훈련
DZES20001131.1.1.9,3,했다니까?,했다니까?
DZES20001131.1.1.10,3,아,아
DZES20001131.1.1.10,3,진짜로,진짜로
DZES20001131.1.1.11,1,어때,어때
DZES20001131.1.1.11,1,전역하고,전역하고
DZES20001131.1.1.11,1,나서도,나서도
DZES20001131.1.1.11,1,하는,하는
DZES20001131.1.1.11,1,-느-,-느-
DZES20001131.1.1.12,3,아니,아니
DZES20001131.1.1.12,3,이제,이제
DZES20001131.1.1.12,3,농약,농약
DZES20001131.1.1.12,3,치고,치고
DZES20001131.1.1.12,3,이제,이제
DZES20001131.1.1.12,3,아빠가,아빠가
DZES20001131.1.1.13,3,야,야
DZES20001131.1.1.13,3,&name3&아,&name3&아
DZES20001131.1.1.13,3,오늘,오늘
DZES20001131.1.1.14,3,유격,유격
DZES20001131.1.1.14,3,훈련,훈련
DZES20001131.1.1.14,3,할,할
DZES20001131.1.1.14,3,거라,거야
DZES20001131.1.1.14,3,이,#이
DZES20001131.1.1.14,3,영하는,이러는
DZES20001131.1.1.14,3,거.,거야.
DZES20001131.1.1.15,1,응응.,응응.
DZES20001131.1.1.16,3,뭔,뭔
DZES20001131.1.1.16,3,유격,유격
DZES20001131.1.1.16,3,훈련,훈련
DZES20001131.1.1.16,3,뭔,뭔
DZES20001131.1.1.16,3,소리,소리
DZES20001131.1.1.16,3,하멘?,해?
DZES20001131.1.1.16,3,하니까,하니까
DZES20001131.1.1.17,3,따라,따라
DZES20001131.1.1.17,3,오라,와
DZES20001131.1.1.17,3,영해신디,이랬는데
DZES20001131.1.1.17,3,진짜,진짜
DZES20001131.1.1.17,3,유격훈련,유격훈련
DZES20001131.1.1.18,3,봉,봉
DZES20001131.1.1.18,3,타고,타고
DZES20001131.1.1.18,3,줄,줄
DZES20001131.1.1.18,3,타고,타고
DZES20001131.1.1.19,1,진짜로?,진짜로?
DZES20001131.1.1.20,3,겅,그렇게
DZES20001131.1.1.20,3,하면서,하면서
DZES20001131.1.1.20,3,하우스,하우스
DZES20001131.1.1.20,3,고쳔,고쳤어
DZES20001131.1.1.20,3,와,와
DZES20001131.1.1.20,3,존내,존내
DZES20001131.1.1.20,3,빡센.,빡셌어.
DZES20001131.1.1.21,1,와,와
DZES20001131.1.1.22,2,-하우스-,-하우스-
DZES20001131.1.1.22,2,-하-,-하-
DZES20001131.1.1.22,2,하우스,하우스
DZES20001131.1.1.22,2,만들기,만들기
DZES20001131.1.1.22,2,힘들언?,힘들었어?
DZES20001131.1.1.23,3,하우스,하우스
DZES20001131.1.1.23,3,만들기,만들기
DZES20001131.1.1.23,3,힘들지,힘들지
DZES20001131.1.1.23,3,거,그거
DZES20001131.1.1.23,3,진짜,진짜
DZES20001131.1.1.23,3,노가다.,노가다.
DZES20001131.1.1.24,2,아,아
DZES20001131.1.1.24,2,진짜?,진짜?
DZES20001131.1.1.24,2,우리,우리
DZES20001131.1.1.24,2,아빠,아빠
DZES20001131.1.1.24,2,일,일
DZES20001131.1.1.24,2,그만두면,그만두면
DZES20001131.1.1.24,2,농사,농사
DZES20001131.1.1.24,2,지으켄,짓겠다고
DZES20001131.1.1.24,2,하던디?,하던데?
DZES20001131.1.1.25,3,엥,엥
DZES20001131.1.1.25,3,뭔,뭔
DZES20001131.1.1.25,3,농사?,농사?
DZES20001131.1.1.26,2,하우스,하우스
DZES20001131.1.1.26,2,농사,농사
DZES20001131.1.1.27,3,음,음
DZES20001131.1.1.28,1,돈,돈
DZES20001131.1.1.28,1,많이,많이
DZES20001131.1.1.28,1,벌겠다.,벌겠다.
DZES20001131.1.1.29,3,거,그거
DZES20001131.1.1.29,3,진짜,진짜
DZES20001131.1.1.29,3,개,개
DZES20001131.1.1.29,3,힘들어,힘들어
DZES20001131.1.1.29,3,근데.,근데.
DZES20001131.1.1.30,2,그럼,그럼
DZES20001131.1.1.30,2,나,나
DZES20001131.1.1.30,2,도와줘야,도와줘야
DZES20001131.1.1.30,2,돼?,돼?
DZES20001131.1.1.31,3,어?,어?
DZES20001131.1.1.31,3,당연하지.,당연하지.
DZES20001131.1.1.32,2,싫은디.,싫은데.
DZES20001131.1.1.33,3,너,너
DZES20001131.1.1.33,3,안,안
DZES20001131.1.1.33,3,도와주면,도와주면
DZES20001131.1.1.33,3,그냥,그냥
DZES20001131.1.1.34,3,아버지가,아버지가
DZES20001131.1.1.34,3,난리,난리
DZES20001131.1.1.34,3,필걸?,필걸?
DZES20001131.1.1.35,1,응,응
DZES20001131.1.1.35,1,난리,난리
DZES20001131.1.1.35,1,필걸?,필걸?
DZES20001131.1.1.36,2,눈물난다,눈물난다
DZES20001131.1.1.36,2,이.,#이
DZES20001131.1.1.37,1,와,와
DZES20001131.1.1.37,1,이번에,이번에
DZES20001131.1.1.37,1,충격,충격
DZES20001131.1.1.37,1,먹었던,먹었던
DZES20001131.1.1.37,1,게,게
DZES20001131.1.1.37,1,나는,나는
DZES20001131.1.1.37,1,하나,하나
DZES20001131.1.1.37,1,버려야,버려야
DZES20001131.1.1.37,1,돼.,돼.
DZES20001131.1.1.38,1,뭐,뭐
DZES20001131.1.1.38,1,뭐,뭐
DZES20001131.1.1.38,1,-했-,-했-
DZES20001131.1.1.38,1,어,어
DZES20001131.1.1.38,1,하나,하나
DZES20001131.1.1.38,1,버려야,버려야
DZES20001131.1.1.38,1,돼.,돼.
DZES20001131.1.1.39,1,뭐,뭐
DZES20001131.1.1.39,1,뭐,뭐
