outer_id,speaker_id,제주방언,표준어
DZES20000034.1.1.1,1,진짜,진짜
DZES20000034.1.1.1,1,너무,너무
DZES20000034.1.1.1,1,뿌듯하다라는,뿌듯하다라는
DZES20000034.1.1.1,1,표정이,표정이
DZES20000034.1.1.1,1,이서,있어
DZES20000034.1.1.1,1,가인,그 아이는
DZES20000034.1.1.1,1,약간,약간
DZES20000034.1.1.1,1,그냥,그냥
DZES20000034.1.1.1,1,이름만,이름만
DZES20000034.1.1.1,1,소개하고,소개하고
DZES20000034.1.1.2,2,나도,나도
DZES20000034.1.1.2,2,아끼는,아끼는
DZES20000034.1.1.2,2,-거-,-거-
DZES20000034.1.1.2,2,-는-,-는-
DZES20000034.1.1.2,2,그,그
DZES20000034.1.1.2,2,정도까지는,정도까지는
DZES20000034.1.1.3,1,나,나
DZES20000034.1.1.3,1,그렇게,그렇게
DZES20000034.1.1.3,1,아끼진,아끼진
DZES20000034.1.1.3,1,않은,않은
DZES20000034.1.1.3,1,거,거
DZES20000034.1.1.3,1,닮아,같아
DZES20000034.1.1.3,1,그니까,그니까
DZES20000034.1.1.3,1,이,이
DZES20000034.1.1.3,1,사람이,사람이
DZES20000034.1.1.4,1,이렇게,이렇게
DZES20000034.1.1.4,1,말하면,말하면
DZES20000034.1.1.4,1,안,안
DZES20000034.1.1.4,1,되지만,되지만
DZES20000034.1.1.4,1,활용한,활용한
DZES20000034.1.1.4,1,거지,거지
DZES20000034.1.1.4,1,그,그
DZES20000034.1.1.4,1,사람의,사람의
DZES20000034.1.1.4,1,사진이라든가,사진이라든가
DZES20000034.1.1.5,1,뭐,뭐
DZES20000034.1.1.5,1,만화를,만화를
DZES20000034.1.1.5,1,그릴,그릴
DZES20000034.1.1.5,1,줄,줄
DZES20000034.1.1.5,1,안다든가,안다든가
DZES20000034.1.1.5,1,코딩,코딩
DZES20000034.1.1.5,1,같은,같은
DZES20000034.1.1.5,1,거를,거를
DZES20000034.1.1.5,1,할,할
DZES20000034.1.1.5,1,수,수
DZES20000034.1.1.5,1,있으니까,있으니까
DZES20000034.1.1.5,1,이,#이
DZES20000034.1.1.6,1,사람을,사람을
DZES20000034.1.1.6,1,굳이,굳이
DZES20000034.1.1.6,1,다른,다른
DZES20000034.1.1.6,1,사람은,사람은
DZES20000034.1.1.6,1,하지,하지
DZES20000034.1.1.6,1,않아도,않아도
DZES20000034.1.1.6,1,여비나,여비나
DZES20000034.1.1.6,1,뭐,뭐
DZES20000034.1.1.6,1,이렇게,이렇게
DZES20000034.1.1.7,1,연구비로,연구비로
DZES20000034.1.1.7,1,챙겨,챙겨
DZES20000034.1.1.7,1,드리고,드리고
DZES20000034.1.1.7,1,하면,하면
DZES20000034.1.1.7,1,공적인,공적인
DZES20000034.1.1.7,1,-으-,-으-
DZES20000034.1.1.7,1,-로-,-로-
DZES20000034.1.1.7,1,다,다
DZES20000034.1.1.7,1,윈윈,윈윈
DZES20000034.1.1.7,1,하는,하는
DZES20000034.1.1.7,1,거잖아,거잖아
DZES20000034.1.1.8,1,이,이
DZES20000034.1.1.8,1,상태로,상태로
DZES20000034.1.1.8,1,또,또
DZES20000034.1.1.8,1,놀고,놀고
DZES20000034.1.1.8,1,&name1&,&name1&
DZES20000034.1.1.8,1,교수님이,교수님이
DZES20000034.1.1.8,1,이제,이제
DZES20000034.1.1.8,1,돌아오는,돌아오는
DZES20000034.1.1.8,1,길에야,길에야
DZES20000034.1.1.9,1,&name1&,&name1&
DZES20000034.1.1.9,1,교수님,교수님
DZES20000034.1.1.9,1,차를,차를
DZES20000034.1.1.9,1,탔어,탔어
DZES20000034.1.1.9,1,다행히,다행히
DZES20000034.1.1.9,1,너무,너무
DZES20000034.1.1.9,1,너무,너무
DZES20000034.1.1.9,1,좋아,좋아
DZES20000034.1.1.10,1,천만다행,천만다행
DZES20000034.1.1.10,1,그래가지구,그래가지구
DZES20000034.1.1.11,1,이제,이제
DZES20000034.1.1.12,1,아,아
DZES20000034.1.1.12,1,걔가,걔가
DZES20000034.1.1.12,1,그,그
DZES20000034.1.1.12,1,친구가,친구가
DZES20000034.1.1.12,1,이제,이제
DZES20000034.1.1.12,1,뭘,뭘
DZES20000034.1.1.12,1,하다가,하다가
DZES20000034.1.1.12,1,지금은,지금은
DZES20000034.1.1.12,1,그냥,그냥
DZES20000034.1.1.12,1,사진만,사진만
DZES20000034.1.1.12,1,찍고,찍고
DZES20000034.1.1.12,1,있다,있다
DZES20000034.1.1.12,1,하니까,하니까
DZES20000034.1.1.12,1,아시는,아시는
DZES20000034.1.1.12,1,거야.,거야.
DZES20000034.1.1.13,1,또,또
DZES20000034.1.1.13,1,얘가,얘가
DZES20000034.1.1.13,1,놈팽인걸,놈팽인걸
DZES20000034.1.1.13,1,아는데,아는데
DZES20000034.1.1.14,1,그런거야,그런거야
DZES20000034.1.1.14,1,같은,같은
DZES20000034.1.1.14,1,과,과
DZES20000034.1.1.14,1,앤데,앤데
DZES20000034.1.1.15,1,어,어
DZES20000034.1.1.15,1,자기,자기
DZES20000034.1.1.15,1,몫을,몫을
DZES20000034.1.1.15,1,못,못
DZES20000034.1.1.15,1,하고,하고
DZES20000034.1.1.15,1,있으니까,있으니까
DZES20000034.1.1.16,1,아,아
DZES20000034.1.1.16,1,그래도,그래도
DZES20000034.1.1.16,1,이런,이런
DZES20000034.1.1.16,1,장점이,장점이
DZES20000034.1.1.16,1,있으니,있으니
DZES20000034.1.1.16,1,운전도,운전도
DZES20000034.1.1.16,1,할,할
DZES20000034.1.1.16,1,줄,줄
DZES20000034.1.1.16,1,알고,알고
DZES20000034.1.1.16,1,차도,차도
DZES20000034.1.1.16,1,있고,있고
DZES20000034.1.1.16,1,이런,이런
DZES20000034.1.1.16,1,장점이,장점이
DZES20000034.1.1.16,1,있으니,있으니
DZES20000034.1.1.17,1,얘를,얘를
DZES20000034.1.1.17,1,보듬어,보듬어
DZES20000034.1.1.17,1,주자,주자
DZES20000034.1.1.17,1,라는,라는
DZES20000034.1.1.17,1,느낌이지,느낌이지
DZES20000034.1.1.17,1,얘를,얘를
DZES20000034.1.1.17,1,아낀다는,아낀다는
DZES20000034.1.1.17,1,느낌은,느낌은
DZES20000034.1.1.17,1,아니야,아니야
DZES20000034.1.1.18,1,무슨,무슨
DZES20000034.1.1.18,1,말인지,말인지
DZES20000034.1.1.18,1,알지?,알지?
DZES20000034.1.1.19,2,그래,그래
DZES20000034.1.1.19,2,아끼면,아끼면
DZES20000034.1.1.19,2,노력,노력
DZES20000034.1.1.19,2,더,더
DZES20000034.1.1.19,2,해줬겠지.,해줬겠지.
DZES20000034.1.1.20,3,나,나
DZES20000034.1.1.20,3,그때,그때
DZES20000034.1.1.20,3,이,#이
DZES20000034.1.1.21,3,이,이
DZES20000034.1.1.21,3,사람,사람
DZES20000034.1.1.21,3,때문에,때문에
DZES20000034.1.1.21,3,스트레스,스트레스
DZES20000034.1.1.21,3,받아가지고,받아가지고
DZES20000034.1.1.22,1,&name2&교수님,&name2&교수님
DZES20000034.1.1.22,1,그,그
DZES20000034.1.1.22,1,지도,지도
DZES20000034.1.1.22,1,교수님이네,교수님이잖아
DZES20000034.1.1.22,1,&name2&,&name2&
DZES20000034.1.1.22,1,교수님한테,교수님한테
DZES20000034.1.1.22,1,털어놘.,털어놨어.
DZES20000034.1.1.23,3,사람막,사람막
DZES20000034.1.1.23,3,막,막
DZES20000034.1.1.23,3,저,저
DZES20000034.1.1.23,3,이,이
DZES20000034.1.1.23,3,사람,사람
DZES20000034.1.1.23,3,때문에,때문에
DZES20000034.1.1.23,3,스트레스,스트레스
DZES20000034.1.1.23,3,받는데,받는데
DZES20000034.1.1.24,1,어떻게?,어떻게?
DZES20000034.1.1.25,3,&name2&,&name2&
DZES20000034.1.1.25,3,교수님,교수님
DZES20000034.1.1.25,3,어,어
DZES20000034.1.1.25,3,그때,그때
DZES20000034.1.1.25,3,놀라시고,놀라시고
DZES20000034.1.1.25,3,그리고,그리고
DZES20000034.1.1.25,3,아니,아니
DZES20000034.1.1.25,3,자기네들이,자기네들이
DZES20000034.1.1.26,3,&name1&,&name1&
DZES20000034.1.1.26,3,교수님이,교수님이
DZES20000034.1.1.26,3,챙겨주길래,챙겨주길래
DZES20000034.1.1.26,3,되게,되게
DZES20000034.1.1.26,3,좋은,좋은
DZES20000034.1.1.26,3,사람인,사람인
DZES20000034.1.1.26,3,줄,줄
DZES20000034.1.1.26,3,알았다고,알았다고
DZES20000034.1.1.27,1,아니,아니
DZES20000034.1.1.27,1,아니야,아니야
DZES20000034.1.1.27,1,&name1&교수님도,&name1&교수님도
